MC	<p>60d1_83b4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>4147_d1c5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They allow <strong><span style="color: #b74300;">passage</span></strong> of hydrophilic <strong><span style="color: #3b7600;">substances</span></strong> across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect
MC	<p>60d1_c325</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They provide a hydrophilic channel for certain <strong><span style="color: #076dad;">molecules</span></strong> or ions to use as a tunnel	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect
MC	<p>bba1_86a0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They facilitate <strong><span style="color: #007a00;">transport</span></strong> of <strong><span style="color: #076dad;">molecules</span></strong> across the membrane	Incorrect
MC	<p>c2f9_3d1b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect
MC	<p>3e7e_f83c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect
MC	<p>0893_fb3b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>8a90_034b</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>0e95_77c3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They provide a hydrophilic channel for certain <strong><span style="color: #076dad;">molecules</span></strong> or ions to use as a tunnel	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>e93f_434a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect
MC	<p>281d_be85</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>bba1_89f1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They facilitate <strong><span style="color: #007a00;">transport</span></strong> of <strong><span style="color: #076dad;">molecules</span></strong> across the membrane	Incorrect
MC	<p>8a90_cc1d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They allow <strong><span style="color: #b74300;">passage</span></strong> of hydrophilic <strong><span style="color: #3b7600;">substances</span></strong> across the membrane	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect
MC	<p>8a90_5ca3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>8a90_1304</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong>?</p>	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect
MC	<p>c2f9_6e48</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They facilitate <strong><span style="color: #007a00;">transport</span></strong> of <strong><span style="color: #076dad;">molecules</span></strong> across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the cytoskeleton to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct
MC	<p>501b_0117</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	They facilitate <strong><span style="color: #007a00;">transport</span></strong> of <strong><span style="color: #076dad;">molecules</span></strong> across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>0893_27ea</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong>?</p>	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect
MC	<p>281d_c333</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect
MC	<p>281d_41bf</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They prevent the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #3b7600;"><strong><span style="color: #3b7600;">substances</span></strong></span></strong> across the membrane	Correct
MC	<p>0b07_8849</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are <strong><span style="color: #c80085;">enzymes</span></strong> that catalyze specific reactions	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> binds to signaling <strong><span style="color: #076dad;">molecules</span></strong> such as hormones or neurotransmitters	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They recognize and bind to other <strong><span style="color: #935d00;">cells</span></strong> or <strong><span style="color: #3b7600;">substances</span></strong>	Incorrect
MC	<p>0b07_470a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> about functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> are repsonsible for attaching <strong><span style="color: #935d00;">cells</span></strong> together	Incorrect	They facilitate <strong><span style="color: #007a00;">transport</span></strong> of <strong><span style="color: #076dad;">molecules</span></strong> across the membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect
MC	<p>501b_aa45</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They are responsible for separating the interior of the <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">cell </span></strong></span></strong>from its external environment	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> serve as channels, pumps, or receptors	Incorrect	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect
MC	<p>281d_3d24</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They receive <strong><span style="color: #935d00;">cell </span></strong>signals and transduce them across the membrane	Incorrect	They tightly attach the cytoskeleton to the extracellular matrix (ECM)	Incorrect
MC	<p>60d1_2247</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of functions of <strong><span style="color: #d40000;"><strong><span style="color: #d40000;"><strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong></span></strong></span></strong>?</p>	They block the <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">passage</span></strong></span></strong> of <strong><span style="color: #935d00;"><strong><span style="color: #935d00;">hydrophobic</span></strong></span></strong> <strong><span style="color: #076dad;"><strong><span style="color: #076dad;">molecules</span></strong></span></strong> from crossing the membrane	Correct	They create intercellular junctions between adjacent <strong><span style="color: #935d00;">cells</span></strong>	Incorrect	Some <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> anchor the extracellular matrix (ECM) to the plasma membrane	Incorrect	They provide <strong><span style="color: #c80085;">enzymatic&nbsp;activity</span></strong> for certain chemical reactions	Incorrect	Carbohydrates covantly attached to <strong><span style="color: #d40000;">membrane&nbsp;proteins</span></strong> allow <strong><span style="color: #935d00;">cells</span></strong> to recognize eachother	Incorrect
