MAT	<p>a88d_58d8</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #00775f;">hydrogen bonding</span></strong> between distant <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	restriction of <strong><span style="color: #007a00;">backbone</span></strong> rotation by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	manner in which <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are arranged in the native <strong><span style="color: #c80085;">protein</span></strong>
MAT	<p>a88d_c73b</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>sequence in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of many <strong><span style="color: #c80085;">protein</span></strong> domains	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between polar <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in the<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_b4b5</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	sequence of <strong><span style="color: #b74300;">amino acids</span></strong> residues in the <strong><span style="color: #c80085;">protein</span></strong> chain	<strong><span style="color: #076dad;">tertiary</span></strong>	electrostatic <strong><span style="color: #0067cc;">interactions</span></strong> among charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	relative orientation of neighboring <strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_416f</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	angular orientation between adjacent <strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_9bf4</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in a &beta;-sheet	<strong><span style="color: #a719db;">quaternary</span></strong>	association of two or more <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_529f</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #00775f;">hydrogen bonding</span></strong> between distant <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>chain length	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>
MAT	<p>a88d_729e</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in a &beta;-sheet	<strong><span style="color: #076dad;">tertiary</span></strong>	creation of hydrophobic core	<strong><span style="color: #d40000;">primary</span></strong>	linear sequence of <strong><span style="color: #b74300;">amino acids</span></strong> joined by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>
MAT	<p>a88d_cd32</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>chain length	<strong><span style="color: #076dad;">tertiary</span></strong>	charged <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	restriction of <strong><span style="color: #007a00;">backbone</span></strong> rotation by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>
MAT	<p>a88d_b540</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	highest level for a <strong><span style="color: #c80085;">protein</span></strong> with a single peptide chain	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of <strong><span style="color: #cc0066;">subunits</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong> in &alpha;-helices	<strong><span style="color: #d40000;">primary</span></strong>	sequence of <strong><span style="color: #b74300;">amino acids</span></strong> residues in the <strong><span style="color: #c80085;">protein</span></strong> chain
MAT	<p>a88d_13a8</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	way in which the different <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are packed together	<strong><span style="color: #d40000;">primary</span></strong>	sequence of <strong><span style="color: #b74300;">amino acids</span></strong> residues in the <strong><span style="color: #c80085;">protein</span></strong> chain	<strong><span style="color: #3b7600;">secondary</span></strong>	Ramachandran plot of <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	disulfide bridges linking distant <strong><span style="color: #b74300;">amino acids</span></strong> in the same<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_2b9e</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	formation of a &beta;-strand within the polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	creation of disulfide bridges by specific <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>
MAT	<p>a88d_8dec</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear sequence of <strong><span style="color: #b74300;">amino acids</span></strong> joined by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #6c6c00;">peptide bonds</span></strong> restricting rotation of the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	complete three-dimensional conformation
MAT	<p>a88d_4748</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong>van der Waals (VDW) <strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in the<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit
MAT	<p>a88d_1636</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	intramolecular <strong><span style="color: #6c6c00;">peptide bonds</span></strong> of the linear <strong><span style="color: #b74300;">amino acid</span> </strong>chain	<strong><span style="color: #a719db;">quaternary</span></strong>	formation of oligomers from two or more <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between distant <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	formation of a &beta;-strand within the polypeptide <strong><span style="color: #007a00;">backbone</span></strong>
MAT	<p>a88d_05d0</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	formation of a &beta;-strand within the polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	manner in which <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are arranged in the native <strong><span style="color: #c80085;">protein</span></strong>
MAT	<p>a88d_56fa</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	association of two or more <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	&phi; and &psi; <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	ionic bonds between oppositely charged <strong><span style="color: #003fff;">side chains</span></strong>
MAT	<p>a88d_acbb</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	creation of disulfide bridges by specific <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	formation of a &alpha;-helix within the polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	assembly of multiple <strong><span style="color: #935d00;">polypeptide chains</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex
MAT	<p>a88d_ed36</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	sequence of <strong><span style="color: #b74300;">amino acids</span></strong> residues in the <strong><span style="color: #c80085;">protein</span></strong> chain	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong>van der Waals (VDW) <strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	Ramachandran plot of <strong><span style="color: #007576;">dihedral angles</span></strong>
MAT	<p>a88d_6f91</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #6c6c00;">peptide bonds</span></strong> forming a linear chain of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in a &beta;-sheet	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>
MAT	<p>a88d_a90e</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of <strong><span style="color: #cc0066;">subunits</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of ionic salt bridges by charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	sequence of <strong><span style="color: #b74300;">amino acids</span></strong> residues in the <strong><span style="color: #c80085;">protein</span></strong> chain
MAT	<p>a88d_a670</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	charged <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	Ramachandran plot of <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>
MAT	<p>a88d_8bda</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	&alpha;-helix structures linked by <strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>
MAT	<p>a88d_7c16</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	dimers, trimers, tetramers, and pentamers	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>chain length	<strong><span style="color: #3b7600;">secondary</span></strong>	Ramachandran plot of <strong><span style="color: #007576;">dihedral angles</span></strong>
MAT	<p>a88d_cc12</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	order of the <strong><span style="color: #b74300;">amino acids</span></strong> in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	Ramachandran plot of <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	way in which the different <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are packed together	<strong><span style="color: #076dad;">tertiary</span></strong>	ionic salt bridge formations between charged <strong><span style="color: #003fff;">side chains</span></strong>
MAT	<p>a88d_39ae</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #00775f;">hydrogen bonding</span></strong> between distant <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	formation of oligomers from two or more <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #6c6c00;">peptide bonds</span></strong> restricting rotation of the <strong><span style="color: #007a00;">backbone</span></strong>
MAT	<p>a88d_ed03</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	creation of disulfide bridges by specific <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	restriction of <strong><span style="color: #007a00;">backbone</span></strong> rotation by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>sequence in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>
MAT	<p>a88d_2ac3</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	electrostatic <strong><span style="color: #0067cc;">interactions</span></strong> among charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit
MAT	<p>a88d_6c6d</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #0067cc;">interactions</span></strong> of <strong><span style="color: #b74300;">amino acid</span> </strong><strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>chain length	<strong><span style="color: #a719db;">quaternary</span></strong>	relative orientation of one <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span> </strong>to another <strong><span style="color: #c80085;">protein</span></strong> subunit
MAT	<p>a88d_15d2</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #0067cc;">interactions</span></strong> of <strong><span style="color: #b74300;">amino acid</span> </strong><strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between nearby <strong><span style="color: #007a00;">backbone</span></strong> atoms in the<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	intramolecular <strong><span style="color: #6c6c00;">peptide bonds</span></strong> of the linear <strong><span style="color: #b74300;">amino acid</span> </strong>chain	<strong><span style="color: #a719db;">quaternary</span></strong>	formation of oligomers from two or more <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>
MAT	<p>a88d_f954</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong> in &alpha;-helices	<strong><span style="color: #076dad;">tertiary</span></strong>	highest level for a <strong><span style="color: #c80085;">protein</span></strong> with a single peptide chain	<strong><span style="color: #a719db;">quaternary</span></strong>	association of two or more <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	length of the <strong><span style="color: #b74300;">amino acid</span> </strong>chain
MAT	<p>a88d_d74a</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	highest level for a <strong><span style="color: #c80085;">protein</span></strong> with a single peptide chain	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of <strong><span style="color: #cc0066;">subunits</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex	<strong><span style="color: #d40000;">primary</span></strong>	formation of <strong><span style="color: #6c6c00;">peptide bonds</span></strong> to make a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_f7b8</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	angular orientation between adjacent <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	order of the <strong><span style="color: #b74300;">amino acids</span></strong> in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of ionic salt bridges by charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	dimers, trimers, tetramers, and pentamers
MAT	<p>a88d_b2a7</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	intramolecular <strong><span style="color: #6c6c00;">peptide bonds</span></strong> of the linear <strong><span style="color: #b74300;">amino acid</span> </strong>chain	<strong><span style="color: #3b7600;">secondary</span></strong>	&alpha;-helix structures linked by <strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	disulfide bridges linking distant <strong><span style="color: #b74300;">amino acids</span></strong> in the same<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
